,City,Rating
1,Beijing,74.17
2,Belfast,82.15
4,Belo Horizonte,71.79
5,Bergen,80.74
6,Berlin,89.54
7,Birmingham,80.85
8,Bogota,70.6
9,Boston,82.2
10,Braga,75.07
11,Bratislava,74.76
12,Brighton,80.61
13,Brisbane,87.63
14,Bristol,79.66
15,Brussels,84.8
16,Bucharest,72.28
17,Budapest,74.13
18,Buenos Aires,77.29
19,Cairo,67.93
20,Calgary,85.77
21,Cambridge,82.15
22,Canberra,83.23
23,Cape Town,87.95
24,Caracas,65.18
25,Casablanca,68.27
26,Cebu,66.93
27,Charlotte,84.46
28,Chennai,78.12
29,Chiang Mai,68.64
30,Chicago,83.01
31,Christchurch,83.36
32,Cologne,82.18
33,Colombo,72.52
34,Copenhagen,82.85
35,Cordoba,73.76
36,Cork,83.55
37,Curitiba,76.15
38,Dallas,84.71
39,Darwin,79.63
40,Davao,69.29
41,Delhi,77.12
42,Detroit,70.63
43,Dhaka,71.58
44,Doha,90.73
45,Dresden,84.75
46,Dubai,98.44
47,Dublin,90.45
48,Dusseldorf,83.45
49,Edinburgh,83.92
50,Edmonton,85.94
51,Florence,76.63
52,Fortaleza,80.17
53,Frankfurt,82.75
54,Gaborone,75.32
55,Galway,83.19
56,Geneva,83.27
57,Glasgow,84.23
58,Gold Coast,82.03
59,Gothenburg,74.63
60,Gurgaon,77.88
61,Haifa,78.84
62,Hamburg,84.66
63,Hamilton,81.34
64,Hanoi,66.77
65,Helsinki,81.34
66,Hong Kong,86.37
67,Honolulu,81.31
68,Houston,85.24
69,Hyderabad,79.35
70,Indianapolis,84.52
71,Indore,76.38
72,Istanbul,80.22
73,Izmir,76.07
74,Jakarta,69.15
75,Jerusalem,78.28
76,Johannesburg,84.08
77,Karachi,67.81
78,Kharkiv,68.99
79,Kiev,69.98
80,Kochi,74.27
81,Kolkata,75.35
82,Kuala Lumpur,77.88
83,Lagos,72.47
84,Lahore,67.32
85,Las Vegas,84.88
86,Lausanne,87.21
87,Leeds,82.57
88,Leicester,83.36
89,Lima,73.19
90,Limassol,78.3
91,Lisbon,77.63
92,Liverpool,81.23
93,Ljubljana,75.35
94,Lodz,73.32
95,London,100.0
96,Los Angeles,86.86
97,Luxembourg,85.85
98,Lyon,84.78
99,Madrid,85.37
100,Malaga,84.3
101,Malmo,81.37
102,Manama,77.56
103,Manchester,81.89
104,Manila,68.31
105,Marbella,81.96
106,Marseille,81.62
107,Medellin,70.14
108,Melbourne,92.58
109,Mexico City,75.07
110,Miami,84.43
111,Milan,81.9
112,Minneapolis,83.47
113,Minsk,68.41
114,Montevideo,71.69
115,Montreal,89.28
116,Moscow,76.35
117,Mumbai,77.13
118,Munich,86.0
119,Muscat,86.3
120,Nairobi,71.12
121,Naples,76.27
122,Nashville,80.61
123,New Orleans,82.56
124,New York,90.53
125,Newark,84.97
126,Nice,82.55
127,Nicosia,78.76
128,Noida,82.34
129,Nottingham,80.42
130,Orlando,84.39
131,Oslo,82.09
132,Ottawa,87.69
133,Oxford,80.94
134,Paris,95.92
135,Pattaya,70.69
136,Perth,95.38
137,Philadelphia,83.31
138,Phoenix,86.37
139,Portland,84.23
140,Porto,76.17
141,Porto Alegre,70.46
142,Prague,76.64
143,Pretoria,80.56
144,Pune,79.2
145,Quito,67.15
146,Regina,82.07
147,Rio De Janeiro,73.44
148,Riyadh,83.22
149,Rochester,82.07
150,Rome,79.07
151,Rotterdam,80.68
152,Saint Louis,85.25
153,Saint Petersburg,73.1
154,San Antonio,83.76
155,San Diego,83.29
156,San Francisco,85.38
157,Santiago,74.6
158,Santo Domingo,74.6
159,Sao Paulo,75.4
160,Seattle,85.38
161,Seoul,82.43
162,Shanghai,75.69
163,Singapore,81.07
164,Sliema,81.05
165,Sofia,71.97
166,Stavanger,79.41
167,Stockholm,82.85
168,Strasbourg,84.18
169,Stuttgart,82.48
170,Sydney,94.53
171,Taipei,77.42
172,Tampa,84.27
173,Tehran,72.13
174,The Hague,83.23
175,Thessaloniki,73.76
176,Tirana,69.78
177,Tokyo,80.0
178,Toronto,88.42
179,Toulouse,82.1
180,Trondheim,80.36
181,Ulaanbaatar,68.29
182,Utrecht,79.7
183,Vadodara,76.54
184,Valencia,81.06
185,Vancouver,82.59
186,Varna,71.11
187,Venice,78.82
188,Victoria,81.44
189,Vienna,81.84
190,Vilnius,72.45
191,Warsaw,76.76
192,Washington,81.74
193,Wellington,81.06
194,Zagreb,73.84
195,Zurich,85.89
