City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating
Aachen,81.64,60.55,73.25,11.69,90.52,15.34
Aberdeen,81.89,49.7,82.86,34.31,76.77,24.22
Abu Dhabi,86.4,68.03,48.02,53.42,80.8,10.86
Addis Ababa,59.88,6.38,63.89,85.59,28.41,26.04
Adelaide,87.29,72.03,56.25,12.01,91.54,41.32
Ahmedabad,76.16,33.69,61.67,68.21,57.01,18.18
Alicante,82.83,44.69,75.61,28.19,72.53,44.01
Amman,74.4,21.22,75.37,61.63,39.57,46.74
Amsterdam,84.0,47.18,68.06,53.42,72.85,29.76
Antalya,71.91,22.91,59.55,30.55,40.51,44.53
Asheville,83.17,70.51,79.02,30.55,81.34,30.21
Athens,76.78,26.05,46.11,27.44,30.57,57.49
Atlanta,84.92,80.83,61.11,63.09,80.51,56.04
Auckland,86.43,49.02,71.85,30.03,66.98,50.38
Austin,84.86,69.22,73.61,28.84,86.51,42.5
Baku,66.42,11.38,28.7,49.47,17.2,36.69
Baltimore,84.28,78.78,72.08,77.98,82.0,58.85
Bangalore,77.92,38.67,69.38,80.94,52.11,51.03
Bangkok,74.21,20.82,95.96,60.39,37.54,36.1
Barcelona,83.37,45.68,58.47,71.75,47.18,41.47
